0.64,0.43,0.44
5.3,0.67,0.68
553.42,4.17,3.96
0.51,0.31,0.32
2.19,0.45,0.47
622.53,2.12,2.51
0.61,0.45,0.45
2.99,0.72,0.77
114.86,6.14,4.51
0.49,0.31,0.31
1.34,0.46,0.45
122.23,6.81,2.81
0.63,0.48,0.5
4.45,1.18,1.37
218.47,16.45,10.44
0.51,0.35,0.37
1.87,0.64,0.81
24.56,17.68,3.66
0.63,0.47,0.48
4.46,1.14,1.22
219.09,24.74,10.06
0.5,0.34,0.36
1.87,0.65,0.7
24.18,28.92,5.05
0.44,0.21,0.57
0.4,0.58,3.56
2.19,4.27,56.45
0.51,0.4,0.49
0.55,0.58,1.62
1.62,1.56,41.31
0.52,0.54,226
1.07,1.91,29.17
7.52,26.35,15.03
0.38,0.39,161.67
0.65,1.38,25.92
2.5,14.55,11.71
0.28,0.22,0.28
3.36,0.12,0.15
346.62,3.6,0.32
0.34,0.16,0.29
3.81,0.12,0.1
770.2,3.88,0.25